Hs (m),log10(Hs),a (true),a (pred),log10(a_true),log10(a_pred),a / Hs^6
1.337513e+00,1.262979e-01,4.931363e-07,5.082480e-07,-6.307033e+00,-6.293924e+00,8.877448e-08
5.849394e+00,7.671109e-01,3.450203e-03,3.393570e-03,-2.462155e+00,-2.469343e+00,8.472107e-08
5.508870e+00,7.410625e-01,2.407435e-03,2.372421e-03,-2.618445e+00,-2.624808e+00,8.488217e-08
4.015750e+00,6.037667e-01,3.612266e-04,3.595552e-04,-3.442220e+00,-3.444234e+00,8.573642e-08
2.056159e+00,3.130567e-01,6.509078e-06,6.617798e-06,-5.186481e+00,-5.179286e+00,8.757357e-08
4.509834e+00,6.541606e-01,7.246740e-04,7.186751e-04,-3.139857e+00,-3.143467e+00,8.542187e-08
5.137690e+00,7.107679e-01,1.584114e-03,1.564527e-03,-2.800214e+00,-2.805617e+00,8.506991e-08
4.451614e+00,6.485175e-01,6.703234e-04,6.650481e-04,-3.173716e+00,-3.177147e+00,8.545705e-08
5.703923e+00,7.561736e-01,2.966341e-03,2.919979e-03,-2.527779e+00,-2.534620e+00,8.478868e-08
1.292755e+00,1.115161e-01,4.020460e-07,4.148138e-07,-6.395724e+00,-6.382147e+00,8.887027e-08
1.539457e+00,1.873676e-01,1.146528e-06,1.176412e-06,-5.940615e+00,-5.929440e+00,8.838000e-08
5.800678e+00,7.634788e-01,3.281344e-03,3.228340e-03,-2.483948e+00,-2.491021e+00,8.474355e-08
5.311015e+00,7.251775e-01,1.933056e-03,1.907151e-03,-2.713756e+00,-2.719615e+00,8.498064e-08
2.184667e+00,3.393852e-01,9.364625e-06,9.502764e-06,-5.028510e+00,-5.022150e+00,8.740553e-08
3.549270e+00,5.501391e-01,1.721922e-04,1.720673e-04,-3.763987e+00,-3.764302e+00,8.607240e-08
5.323612e+00,7.262064e-01,1.960729e-03,1.934306e-03,-2.707582e+00,-2.713475e+00,8.497419e-08
3.307787e+00,5.195376e-01,1.128249e-04,1.129948e-04,-3.947595e+00,-3.946942e+00,8.626464e-08
5.085361e+00,7.063218e-01,1.489738e-03,1.471796e-03,-2.826890e+00,-2.832152e+00,8.509757e-08
4.694334e+00,6.715739e-01,9.217703e-04,9.129797e-04,-3.035377e+00,-3.039539e+00,8.531345e-08
2.965519e+00,4.721008e-01,5.858469e-05,5.887628e-05,-4.232216e+00,-4.230060e+00,8.656369e-08
4.546944e+00,6.577196e-01,7.611967e-04,7.546994e-04,-3.118503e+00,-3.122226e+00,8.539968e-08
5.499167e+00,7.402969e-01,2.382103e-03,2.347589e-03,-2.623039e+00,-2.629378e+00,8.488691e-08
1.882640e+00,2.747673e-01,3.835157e-06,3.910117e-06,-5.416217e+00,-5.407810e+00,8.781848e-08
4.687506e+00,6.709418e-01,9.137564e-04,9.050830e-04,-3.039170e+00,-3.043312e+00,8.531733e-08
3.607298e+00,5.571820e-01,1.897892e-04,1.895540e-04,-3.721729e+00,-3.722267e+00,8.602817e-08
5.204544e+00,7.163826e-01,1.711887e-03,1.690030e-03,-2.766525e+00,-2.772106e+00,8.503513e-08
1.310207e+00,1.173400e-01,4.357314e-07,4.493779e-07,-6.360781e+00,-6.347388e+00,8.883251e-08
4.761990e+00,6.777884e-01,1.004408e-03,9.943779e-04,-2.998090e+00,-3.002449e+00,8.527482e-08
4.719731e+00,6.739173e-01,9.521010e-04,9.428601e-04,-3.021317e+00,-3.025553e+00,8.529894e-08
3.648299e+00,5.620903e-01,2.031055e-04,2.027810e-04,-3.692278e+00,-3.692973e+00,8.599737e-08
5.912606e+00,7.717789e-01,3.680045e-03,3.618407e-03,-2.434147e+00,-2.441483e+00,8.469226e-08
5.840329e+00,7.664374e-01,3.418245e-03,3.362305e-03,-2.466197e+00,-2.473363e+00,8.472530e-08
3.802203e+00,5.800353e-01,2.602503e-04,2.594949e-04,-3.584609e+00,-3.585871e+00,8.588491e-08
5.512267e+00,7.413302e-01,2.416354e-03,2.381166e-03,-2.616839e+00,-2.623210e+00,8.488057e-08
5.185598e+00,7.147989e-01,1.674836e-03,1.653642e-03,-2.776028e+00,-2.781559e+00,8.504490e-08
1.252866e+00,9.790447e-02,3.331240e-07,3.440443e-07,-6.477394e+00,-6.463386e+00,8.895852e-08
3.951475e+00,5.967592e-01,3.278947e-04,3.265446e-04,-3.484266e+00,-3.486058e+00,8.578024e-08
2.344268e+00,3.700072e-01,1.429626e-05,1.447478e-05,-4.844778e+00,-4.839388e+00,8.721054e-08
5.751187e+00,7.597575e-01,3.116909e-03,3.067391e-03,-2.506276e+00,-2.513231e+00,8.476652e-08
5.137765e+00,7.107742e-01,1.584254e-03,1.564665e-03,-2.800175e+00,-2.805579e+00,8.506986e-08
5.720211e+00,7.574120e-01,3.017527e-03,2.970097e-03,-2.520349e+00,-2.527229e+00,8.478101e-08
3.876796e+00,5.884729e-01,2.924265e-04,2.913983e-04,-3.533983e+00,-3.535513e+00,8.583206e-08
4.645867e+00,6.670668e-01,8.661241e-04,8.581463e-04,-3.062420e+00,-3.066439e+00,8.534155e-08
3.067583e+00,4.867963e-01,7.177233e-05,7.205231e-05,-4.144043e+00,-4.142352e+00,8.647096e-08
1.325258e+00,1.223004e-01,4.666401e-07,4.810803e-07,-6.331018e+00,-6.317782e+00,8.880041e-08
1.593545e+00,2.023644e-01,1.410477e-06,1.445658e-06,-5.850634e+00,-5.839934e+00,8.828338e-08
