========================================================================================================================
TABELA DE DADOS - VALIDAÇÃO
========================================================================================================================

      Hs (m)    log10(Hs)           a (true)           a (pred)  log10(a_true)  log10(a_pred)           a / Hs^6
      1.1746       0.0699       2.261650e-07       2.340571e-07        -6.6456        -6.6307       8.914058e-08
      2.5044       0.3987       2.125165e-05       2.147207e-05        -4.6726        -4.6681       8.702833e-08
      4.4795       0.6512       6.959112e-04       6.902977e-04        -3.1574        -3.1610       8.544011e-08
      3.9222       0.5935       3.136081e-04       3.123902e-04        -3.5036        -3.5053       8.580040e-08
      1.0655       0.0275       1.260180e-07       1.308185e-07        -6.8996        -6.8833       8.941623e-08
      3.0423       0.4832       6.829085e-05       6.857524e-05        -4.1656        -4.1638       8.649363e-08
      5.5413       0.7436       2.493809e-03       2.457081e-03        -2.6031        -2.6096       8.486639e-08
      5.7572       0.7602       3.136592e-03       3.086662e-03        -2.5035        -2.5105       8.476378e-08
      3.6447       0.5617       2.019016e-04       2.015856e-04        -3.6949        -3.6955       8.600011e-08
      4.5880       0.6616       8.033660e-04       7.962818e-04        -3.0951        -3.0989       8.537538e-08
      1.0608       0.0256       1.227271e-07       1.274203e-07        -6.9111        -6.8948       8.942872e-08
      2.2827       0.3584       1.218472e-05       1.234729e-05        -4.9142        -4.9084       8.728419e-08
      4.2717       0.6306       5.233471e-04       5.199073e-04        -3.2812        -3.2841       8.556880e-08
      4.3069       0.6342       5.497177e-04       5.459625e-04        -3.2599        -3.2628       8.554657e-08
      3.5952       0.5557       1.859901e-04       1.857794e-04        -3.7305        -3.7310       8.603740e-08
      1.3375       0.1263       4.931363e-07       5.082480e-07        -6.3070        -6.2939       8.877448e-08
      5.8494       0.7671       3.450203e-03       3.393570e-03        -2.4622        -2.4693       8.472107e-08
      5.5089       0.7411       2.407435e-03       2.372421e-03        -2.6184        -2.6248       8.488217e-08
      4.0158       0.6038       3.612266e-04       3.595552e-04        -3.4422        -3.4442       8.573642e-08
      2.0562       0.3131       6.509078e-06       6.617798e-06        -5.1865        -5.1793       8.757357e-08
      4.5098       0.6542       7.246740e-04       7.186751e-04        -3.1399        -3.1435       8.542187e-08
      5.1377       0.7108       1.584114e-03       1.564527e-03        -2.8002        -2.8056       8.506991e-08
      4.4516       0.6485       6.703234e-04       6.650481e-04        -3.1737        -3.1771       8.545705e-08
      5.7039       0.7562       2.966341e-03       2.919979e-03        -2.5278        -2.5346       8.478868e-08
      1.2928       0.1115       4.020460e-07       4.148138e-07        -6.3957        -6.3821       8.887027e-08
      1.5395       0.1874       1.146528e-06       1.176412e-06        -5.9406        -5.9294       8.838000e-08
      5.8007       0.7635       3.281344e-03       3.228340e-03        -2.4839        -2.4910       8.474355e-08
      5.3110       0.7252       1.933056e-03       1.907151e-03        -2.7138        -2.7196       8.498064e-08
      2.1847       0.3394       9.364625e-06       9.502764e-06        -5.0285        -5.0222       8.740553e-08
      3.5493       0.5501       1.721922e-04       1.720673e-04        -3.7640        -3.7643       8.607240e-08
      5.3236       0.7262       1.960729e-03       1.934306e-03        -2.7076        -2.7135       8.497419e-08
      3.3078       0.5195       1.128249e-04       1.129948e-04        -3.9476        -3.9469       8.626464e-08
      5.0854       0.7063       1.489738e-03       1.471796e-03        -2.8269        -2.8322       8.509757e-08
      4.6943       0.6716       9.217703e-04       9.129797e-04        -3.0354        -3.0395       8.531345e-08
      2.9655       0.4721       5.858469e-05       5.887628e-05        -4.2322        -4.2301       8.656369e-08
      4.5469       0.6577       7.611967e-04       7.546994e-04        -3.1185        -3.1222       8.539968e-08
      5.4992       0.7403       2.382103e-03       2.347589e-03        -2.6230        -2.6294       8.488691e-08
      1.8826       0.2748       3.835157e-06       3.910117e-06        -5.4162        -5.4078       8.781848e-08
      4.6875       0.6709       9.137564e-04       9.050830e-04        -3.0392        -3.0433       8.531733e-08
      3.6073       0.5572       1.897892e-04       1.895540e-04        -3.7217        -3.7223       8.602817e-08
      5.2045       0.7164       1.711887e-03       1.690030e-03        -2.7665        -2.7721       8.503513e-08
      1.3102       0.1173       4.357314e-07       4.493779e-07        -6.3608        -6.3474       8.883251e-08
      4.7620       0.6778       1.004408e-03       9.943779e-04        -2.9981        -3.0024       8.527482e-08
      4.7197       0.6739       9.521010e-04       9.428601e-04        -3.0213        -3.0256       8.529894e-08
      3.6483       0.5621       2.031055e-04       2.027810e-04        -3.6923        -3.6930       8.599737e-08
      5.9126       0.7718       3.680045e-03       3.618407e-03        -2.4341        -2.4415       8.469226e-08
      5.8403       0.7664       3.418245e-03       3.362305e-03        -2.4662        -2.4734       8.472530e-08
      3.8022       0.5800       2.602503e-04       2.594949e-04        -3.5846        -3.5859       8.588491e-08
      5.5123       0.7413       2.416354e-03       2.381166e-03        -2.6168        -2.6232       8.488057e-08
      5.1856       0.7148       1.674836e-03       1.653642e-03        -2.7760        -2.7816       8.504490e-08
      1.2529       0.0979       3.331240e-07       3.440443e-07        -6.4774        -6.4634       8.895852e-08
      3.9515       0.5968       3.278947e-04       3.265446e-04        -3.4843        -3.4861       8.578024e-08
      2.3443       0.3700       1.429626e-05       1.447478e-05        -4.8448        -4.8394       8.721054e-08
      5.7512       0.7598       3.116909e-03       3.067391e-03        -2.5063        -2.5132       8.476652e-08
      5.1378       0.7108       1.584254e-03       1.564665e-03        -2.8002        -2.8056       8.506986e-08
      5.7202       0.7574       3.017527e-03       2.970097e-03        -2.5203        -2.5272       8.478101e-08
      3.8768       0.5885       2.924265e-04       2.913983e-04        -3.5340        -3.5355       8.583206e-08
      4.6459       0.6671       8.661241e-04       8.581463e-04        -3.0624        -3.0664       8.534155e-08
      3.0676       0.4868       7.177233e-05       7.205231e-05        -4.1440        -4.1424       8.647096e-08
      1.3253       0.1223       4.666401e-07       4.810803e-07        -6.3310        -6.3178       8.880041e-08
      1.5935       0.2024       1.410477e-06       1.445658e-06        -5.8506        -5.8399       8.828338e-08
      1.1697       0.0681       2.206443e-07       2.283736e-07        -6.6563        -6.6414       8.915224e-08
      1.6386       0.2145       1.667114e-06       1.707189e-06        -5.7780        -5.7677       8.820552e-08
      4.3260       0.6361       5.645338e-04       5.605989e-04        -3.2483        -3.2513       8.553455e-08
      2.5169       0.4009       2.189795e-05       2.212158e-05        -4.6596        -4.6552       8.701452e-08
      3.6783       0.5656       2.133291e-04       2.129334e-04        -3.6709        -3.6718       8.597515e-08
      4.6533       0.6678       8.744180e-04       8.663195e-04        -3.0583        -3.0623       8.533718e-08
      2.0014       0.3013       5.535993e-06       5.633276e-06        -5.2568        -5.2492       8.764852e-08
      3.4643       0.5396       1.488982e-04       1.489043e-04        -3.8271        -3.8271       8.613848e-08
      1.6010       0.2044       1.450729e-06       1.486693e-06        -5.8384        -5.8278       8.827023e-08
      4.8500       0.6857       1.121017e-03       1.109180e-03        -2.9504        -2.9550       8.522535e-08
      1.6051       0.2055       1.473101e-06       1.509498e-06        -5.8318        -5.8212       8.826316e-08
      3.9342       0.5949       3.193902e-04       3.181191e-04        -3.4957        -3.4974       8.579212e-08
      4.6650       0.6689       8.877474e-04       8.794555e-04        -3.0517        -3.0558       8.533038e-08
      4.4278       0.6462       6.491168e-04       6.441173e-04        -3.1877        -3.1910       8.547153e-08
      1.1128       0.0464       1.635817e-07       1.695795e-07        -6.7863        -6.7706       8.929312e-08
      4.1557       0.6186       4.436496e-04       4.411181e-04        -3.3530        -3.3554       8.564344e-08
      5.1069       0.7082       1.528075e-03       1.509468e-03        -2.8159        -2.8212       8.508609e-08
      2.1118       0.3247       7.640185e-06       7.761233e-06        -5.1169        -5.1101       8.749954e-08
      2.6184       0.4180       2.775820e-05       2.800660e-05        -4.5566        -4.5527       8.690567e-08
      2.7260       0.4355       3.534247e-05       3.561327e-05        -4.4517        -4.4484       8.679488e-08
      1.3452       0.1288       5.103533e-07       5.258974e-07        -6.2921        -6.2791       8.875842e-08
      3.8320       0.5834       2.727395e-04       2.718807e-04        -3.5643        -3.5656       8.586370e-08
      3.5584       0.5513       1.748632e-04       1.747221e-04        -3.7573        -3.7577       8.606537e-08
      2.7066       0.4324       3.386238e-05       3.412952e-05        -4.4703        -4.4669       8.681449e-08
      3.1453       0.4977       8.339916e-05       8.365815e-05        -4.0788        -4.0775       8.640244e-08
      2.2355       0.3494       1.075093e-05       1.090158e-05        -4.9686        -4.9625       8.734190e-08
      5.8999       0.7708       3.632668e-03       3.572073e-03        -2.4398        -2.4471       8.469812e-08
      4.2144       0.6247       4.826138e-04       4.796466e-04        -3.3164        -3.3191       8.560536e-08
      1.1967       0.0780       2.530053e-07       2.616790e-07        -6.5969        -6.5822       8.908787e-08
      5.5088       0.7411       2.407277e-03       2.372267e-03        -2.6185        -2.6248       8.488222e-08
      3.5644       0.5520       1.766358e-04       1.764838e-04        -3.7529        -3.7533       8.606082e-08
      2.2499       0.3522       1.117165e-05       1.132589e-05        -4.9519        -4.9459       8.732416e-08
      3.0330       0.4819       6.704604e-05       6.733182e-05        -4.1736        -4.1718       8.650207e-08
      2.5156       0.4006       2.183093e-05       2.205421e-05        -4.6609        -4.6565       8.701595e-08
      3.7224       0.5708       2.291656e-04       2.286539e-04        -3.6399        -3.6408       8.594260e-08
      5.7527       0.7599       3.121687e-03       3.072069e-03        -2.5056        -2.5126       8.476587e-08
      4.5799       0.6609       7.948645e-04       7.878999e-04        -3.0997        -3.1035       8.538019e-08
      1.8375       0.2642       3.314974e-06       3.382366e-06        -5.4795        -5.4708       8.788601e-08
      3.0555       0.4851       7.008967e-05       7.037197e-05        -4.1543        -4.1526       8.648179e-08
      3.7476       0.5738       2.386324e-04       2.380487e-04        -3.6223        -3.6233       8.592421e-08
      2.8446       0.4540       4.563283e-05       4.592047e-05        -4.3407        -4.3380       8.667787e-08
      3.1410       0.4971       8.271521e-05       8.297572e-05        -4.0824        -4.0810       8.640621e-08
      1.4827       0.1710       9.150621e-07       9.400309e-07        -6.0385        -6.0269       8.848529e-08
      5.1470       0.7116       1.601366e-03       1.581477e-03        -2.7955        -2.8009       8.506510e-08
      3.7674       0.5760       2.462642e-04       2.456210e-04        -3.6086        -3.6097       8.590997e-08
      2.6229       0.4188       2.804780e-05       2.829721e-05        -4.5521        -4.5483       8.690091e-08
      2.8388       0.4531       4.508012e-05       4.536721e-05        -4.3460        -4.3433       8.668345e-08
      4.9711       0.6964       1.299780e-03       1.285050e-03        -2.8861        -2.8911       8.515882e-08
      3.2467       0.5114       1.008954e-04       1.011071e-04        -3.9961        -3.9952       8.631563e-08
      4.8556       0.6862       1.128871e-03       1.116909e-03        -2.9474        -2.9520       8.522224e-08
      1.2574       0.0995       3.404138e-07       3.515327e-07        -6.4680        -6.4540       8.894836e-08
      5.9119       0.7717       3.677381e-03       3.615802e-03        -2.4345        -2.4418       8.469257e-08
      2.3450       0.3701       1.432187e-05       1.450059e-05        -4.8440        -4.8386       8.720973e-08
      2.6392       0.4215       2.910744e-05       2.936053e-05        -4.5360        -4.5322       8.688384e-08
      5.8495       0.7671       3.450752e-03       3.394107e-03        -2.4621        -2.4693       8.472099e-08
      3.9121       0.5924       3.087791e-04       3.076049e-04        -3.5104        -3.5120       8.580741e-08
      3.0598       0.4857       7.068536e-05       7.096679e-05        -4.1507        -4.1489       8.647790e-08
